"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 18 20:17:31 GMT 2023","Sat Nov 18 20:17:32 GMT 2023","829","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Sat Nov 18 20:17:32 GMT 2023","Sat Nov 18 20:17:33 GMT 2023","681","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"passed","Sat Nov 18 20:17:22 GMT 2023","Sat Nov 18 20:17:31 GMT 2023","9425","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
