"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 05 10:17:27 GMT 2023","Sun Nov 05 10:17:29 GMT 2023","1322","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Sun Nov 05 10:17:17 GMT 2023","Sun Nov 05 10:17:27 GMT 2023","10319","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"passed","Sun Nov 05 10:17:29 GMT 2023","Sun Nov 05 10:17:29 GMT 2023","845","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
