"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 29 20:16:39 GMT 2023","Sun Oct 29 20:16:40 GMT 2023","1297","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Sun Oct 29 20:16:40 GMT 2023","Sun Oct 29 20:16:41 GMT 2023","889","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"passed","Sun Oct 29 20:16:35 GMT 2023","Sun Oct 29 20:16:39 GMT 2023","3741","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
