"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 23 20:18:18 GMT 2023","Thu Nov 23 20:18:19 GMT 2023","686","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Thu Nov 23 20:18:17 GMT 2023","Thu Nov 23 20:18:18 GMT 2023","1308","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Thu Nov 23 20:18:14 GMT 2023","Thu Nov 23 20:18:17 GMT 2023","2421","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
