"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 10:18:58 GMT 2023","Tue Nov 07 10:19:06 GMT 2023","8806","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"failed","Tue Nov 07 10:19:06 GMT 2023","Tue Nov 07 10:19:08 GMT 2023","1086","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Tue Nov 07 10:19:08 GMT 2023","Tue Nov 07 10:19:09 GMT 2023","954","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
