"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 16 10:19:26 GMT 2023","Thu Nov 16 10:19:30 GMT 2023","4740","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"passed","Thu Nov 16 10:19:32 GMT 2023","Thu Nov 16 10:19:32 GMT 2023","685","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Thu Nov 16 10:19:30 GMT 2023","Thu Nov 16 10:19:32 GMT 2023","1357","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
