"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 27 20:17:42 GMT 2023","Fri Oct 27 20:17:42 GMT 2023","882","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Fri Oct 27 20:17:40 GMT 2023","Fri Oct 27 20:17:41 GMT 2023","1317","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Fri Oct 27 20:17:36 GMT 2023","Fri Oct 27 20:17:40 GMT 2023","4402","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
