"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 26 20:18:05 GMT 2023","Thu Oct 26 20:18:09 GMT 2023","3759","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"failed","Thu Oct 26 20:18:09 GMT 2023","Thu Oct 26 20:18:10 GMT 2023","1404","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Thu Oct 26 20:18:11 GMT 2023","Thu Oct 26 20:18:12 GMT 2023","1151","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
