"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 21 10:25:54 GMT 2023","Tue Nov 21 10:25:55 GMT 2023","707","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"passed","Tue Nov 21 10:25:44 GMT 2023","Tue Nov 21 10:25:53 GMT 2023","9233","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"failed","Tue Nov 21 10:25:53 GMT 2023","Tue Nov 21 10:25:54 GMT 2023","891","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
