"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 12 10:17:32 GMT 2023","Sun Nov 12 10:17:33 GMT 2023","1110","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Sun Nov 12 10:17:33 GMT 2023","Sun Nov 12 10:17:34 GMT 2023","961","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"passed","Sun Nov 12 10:17:19 GMT 2023","Sun Nov 12 10:17:32 GMT 2023","12722","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
