"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 17 20:19:22 GMT 2023","Fri Nov 17 20:19:25 GMT 2023","2710","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"failed","Fri Nov 17 20:19:25 GMT 2023","Fri Nov 17 20:19:26 GMT 2023","1160","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Fri Nov 17 20:19:26 GMT 2023","Fri Nov 17 20:19:27 GMT 2023","686","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
