"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 13 20:17:31 GMT 2023","Mon Nov 13 20:17:33 GMT 2023","1302","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Mon Nov 13 20:17:27 GMT 2023","Mon Nov 13 20:17:31 GMT 2023","4583","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"passed","Mon Nov 13 20:17:33 GMT 2023","Mon Nov 13 20:17:34 GMT 2023","1068","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
