"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 26 10:18:32 GMT 2023","Thu Oct 26 10:18:34 GMT 2023","1588","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Thu Oct 26 10:18:34 GMT 2023","Thu Oct 26 10:18:35 GMT 2023","1065","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"passed","Thu Oct 26 10:18:22 GMT 2023","Thu Oct 26 10:18:32 GMT 2023","10153","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
