"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 30 20:18:00 GMT 2023","Mon Oct 30 20:18:01 GMT 2023","1533","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Mon Oct 30 20:18:01 GMT 2023","Mon Oct 30 20:18:03 GMT 2023","1258","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"passed","Mon Oct 30 20:17:56 GMT 2023","Mon Oct 30 20:18:00 GMT 2023","3605","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
