"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 07 20:18:12 GMT 2023","Tue Nov 07 20:18:13 GMT 2023","1029","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Tue Nov 07 20:18:13 GMT 2023","Tue Nov 07 20:18:14 GMT 2023","864","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"passed","Tue Nov 07 20:18:09 GMT 2023","Tue Nov 07 20:18:12 GMT 2023","3086","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
