"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 14 20:17:40 GMT 2023","Tue Nov 14 20:17:41 GMT 2023","1145","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Tue Nov 14 20:17:42 GMT 2023","Tue Nov 14 20:17:42 GMT 2023","900","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"passed","Tue Nov 14 20:17:37 GMT 2023","Tue Nov 14 20:17:40 GMT 2023","3385","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
