"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 20:18:28 GMT 2023","Mon Nov 06 20:18:33 GMT 2023","4780","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"failed","Mon Nov 06 20:18:33 GMT 2023","Mon Nov 06 20:18:34 GMT 2023","1165","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Mon Nov 06 20:18:34 GMT 2023","Mon Nov 06 20:18:35 GMT 2023","1005","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
