"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 04 20:16:59 GMT 2023","Sat Nov 04 20:17:04 GMT 2023","5708","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"passed","Sat Nov 04 20:17:06 GMT 2023","Sat Nov 04 20:17:07 GMT 2023","1095","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Sat Nov 04 20:17:04 GMT 2023","Sat Nov 04 20:17:06 GMT 2023","1762","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
