"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 19 20:17:42 GMT 2023","Sun Nov 19 20:17:50 GMT 2023","7545","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"passed","Sun Nov 19 20:17:51 GMT 2023","Sun Nov 19 20:17:52 GMT 2023","714","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Sun Nov 19 20:17:50 GMT 2023","Sun Nov 19 20:17:51 GMT 2023","1142","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
