"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 16 20:19:15 GMT 2023","Thu Nov 16 20:19:16 GMT 2023","672","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Thu Nov 16 20:19:14 GMT 2023","Thu Nov 16 20:19:15 GMT 2023","1036","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Thu Nov 16 20:19:02 GMT 2023","Thu Nov 16 20:19:14 GMT 2023","12094","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
