"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 10:20:25 GMT 2023","Mon Nov 06 10:20:26 GMT 2023","866","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Mon Nov 06 10:20:24 GMT 2023","Mon Nov 06 10:20:25 GMT 2023","1201","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Mon Nov 06 10:20:17 GMT 2023","Mon Nov 06 10:20:24 GMT 2023","7200","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
