"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 21 20:17:45 GMT 2023","Tue Nov 21 20:17:46 GMT 2023","985","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Tue Nov 21 20:17:34 GMT 2023","Tue Nov 21 20:17:45 GMT 2023","10658","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"passed","Tue Nov 21 20:17:46 GMT 2023","Tue Nov 21 20:17:47 GMT 2023","681","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
