"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 12 20:17:12 GMT 2023","Sun Nov 12 20:17:14 GMT 2023","1343","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Sun Nov 12 20:16:59 GMT 2023","Sun Nov 12 20:17:12 GMT 2023","12947","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"passed","Sun Nov 12 20:17:14 GMT 2023","Sun Nov 12 20:17:14 GMT 2023","680","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
