"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 27 10:18:16 GMT 2023","Fri Oct 27 10:18:17 GMT 2023","852","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Fri Oct 27 10:18:15 GMT 2023","Fri Oct 27 10:18:16 GMT 2023","1000","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Fri Oct 27 10:18:12 GMT 2023","Fri Oct 27 10:18:15 GMT 2023","2840","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
