"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 20:18:51 GMT 2023","Wed Nov 15 20:18:55 GMT 2023","3907","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"failed","Wed Nov 15 20:18:55 GMT 2023","Wed Nov 15 20:18:56 GMT 2023","860","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Wed Nov 15 20:18:56 GMT 2023","Wed Nov 15 20:18:57 GMT 2023","708","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
