"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 29 10:16:53 GMT 2023","Sun Oct 29 10:16:54 GMT 2023","850","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Sun Oct 29 10:16:52 GMT 2023","Sun Oct 29 10:16:53 GMT 2023","989","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Sun Oct 29 10:16:49 GMT 2023","Sun Oct 29 10:16:52 GMT 2023","2750","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
