"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 20 10:20:44 GMT 2023","Mon Nov 20 10:20:44 GMT 2023","676","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Mon Nov 20 10:20:42 GMT 2023","Mon Nov 20 10:20:44 GMT 2023","1432","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
"passed","Mon Nov 20 10:20:23 GMT 2023","Mon Nov 20 10:20:42 GMT 2023","19136","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
