"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 10:19:27 GMT 2023","Tue Nov 14 10:19:31 GMT 2023","4405","","tests.LoginTest","","tests.LoginTest","testEmptyEmail","testEmptyEmail()","Try to login by entering the password and leaving the user field empty"
"passed","Tue Nov 14 10:19:32 GMT 2023","Tue Nov 14 10:19:33 GMT 2023","674","","tests.LoginTest","","tests.LoginTest","testEmptyPassword","testEmptyPassword()","Try to login by entering the email and leaving the password field empty"
"failed","Tue Nov 14 10:19:31 GMT 2023","Tue Nov 14 10:19:32 GMT 2023","832","","tests.LoginTest","","tests.LoginTest","testCorrectLogin","testCorrectLogin()","Log in with a user registered in the system, informing your correct password"
